timestamp,y_bytes_imp_t1,predicted
1995-08-16 00:00:00,155.946,667.82263
1995-08-16 00:01:00,325.66299999999995,1004.7793
1995-08-16 00:02:00,181.711,948.72284
1995-08-16 00:03:00,213.621,959.39105
1995-08-16 00:04:00,303.77,956.27203
1995-08-16 00:05:00,715.002,627.8888
1995-08-16 00:06:00,117.61699999999999,851.76715
1995-08-16 00:07:00,204.34,973.69904
1995-08-16 00:08:00,160.00799999999998,899.68915
1995-08-16 00:09:00,202.59,682.32745
1995-08-16 00:10:00,92.922,667.64374
1995-08-16 00:11:00,234.608,662.13544
1995-08-16 00:12:00,265.058,722.4256
1995-08-16 00:13:00,301.609,715.02783
1995-08-16 00:14:00,248.05100000000002,657.48425
1995-08-16 00:15:00,295.33299999999997,741.5005
1995-08-16 00:16:00,114.238,661.84393
1995-08-16 00:17:00,532.451,627.5378
1995-08-16 00:18:00,269.753,734.21466
1995-08-16 00:19:00,462.654,928.70514
1995-08-16 00:20:00,465.998,604.57935
1995-08-16 00:21:00,80.38699999999999,629.41705
1995-08-16 00:22:00,479.832,802.7031
1995-08-16 00:23:00,269.485,875.21954
1995-08-16 00:24:00,869.8789999999999,990.50055
1995-08-16 00:25:00,331.93399999999997,1078.0642
1995-08-16 00:26:00,515.7139999999999,858.9109
1995-08-16 00:27:00,405.683,962.495
1995-08-16 00:28:00,387.53499999999997,1012.1724
1995-08-16 00:29:00,612.249,891.6586
1995-08-16 00:30:00,160.473,895.34985
1995-08-16 00:31:00,1138.6280000000002,1188.6089
1995-08-16 00:32:00,284.748,951.8609
1995-08-16 00:33:00,318.382,1105.3636
1995-08-16 00:34:00,179.179,799.82904
1995-08-16 00:35:00,359.375,916.8114
1995-08-16 00:36:00,333.24,1086.4476
1995-08-16 00:37:00,168.511,1060.9784
1995-08-16 00:38:00,542.421,1064.1638
1995-08-16 00:39:00,365.12,1147.6519
1995-08-16 00:40:00,883.2819999999999,861.30927
1995-08-16 00:41:00,388.519,1042.5107
1995-08-16 00:42:00,701.522,1324.5671
1995-08-16 00:43:00,40.536,890.83453
1995-08-16 00:44:00,232.897,900.94885
1995-08-16 00:45:00,934.642,688.3943
1995-08-16 00:46:00,118.209,792.7373
1995-08-16 00:47:00,1555.595,866.88226
1995-08-16 00:48:00,677.177,811.2573
1995-08-16 00:49:00,1124.3439999999998,1162.2031
1995-08-16 00:50:00,562.265,1274.5212
1995-08-16 00:51:00,1626.9199999999998,1226.8693
1995-08-16 00:52:00,1229.809,1212.4664
1995-08-16 00:53:00,891.391,1147.2286
1995-08-16 00:54:00,2046.339,1327.9626
1995-08-16 00:55:00,803.419,1139.2125
1995-08-16 00:56:00,613.812,1000.6437
1995-08-16 00:57:00,875.951,1241.8112
1995-08-16 00:58:00,1165.426,1461.99
1995-08-16 00:59:00,1698.218,1416.1715
1995-08-16 01:00:00,480.11600000000004,1365.7925
1995-08-16 01:01:00,1354.6100000000001,1454.5363
1995-08-16 01:02:00,937.4670000000001,1472.1417
1995-08-16 01:03:00,930.211,1501.9012
1995-08-16 01:04:00,367.136,1502.3936
1995-08-16 01:05:00,1259.5,1207.1921
1995-08-16 01:06:00,1249.511,1448.9806
1995-08-16 01:07:00,418.75,1524.0754
1995-08-16 01:08:00,1421.359,1407.1108
1995-08-16 01:09:00,1554.5240000000001,1360.4827
1995-08-16 01:10:00,928.192,1413.5249
1995-08-16 01:11:00,996.11,1479.2966
1995-08-16 01:12:00,1438.3,1579.6901
1995-08-16 01:13:00,189.90200000000002,1247.368
1995-08-16 01:14:00,155.625,1319.1323
1995-08-16 01:15:00,502.46999999999997,1249.749
1995-08-16 01:16:00,198.421,990.4963
1995-08-16 01:17:00,234.729,1223.9319
1995-08-16 01:18:00,176.06199999999998,896.69293
1995-08-16 01:19:00,447.726,1166.5381
1995-08-16 01:20:00,560.428,1105.8069
1995-08-16 01:21:00,594.886,1185.8524
1995-08-16 01:22:00,413.505,992.1103
1995-08-16 01:23:00,786.372,766.76385
1995-08-16 01:24:00,528.656,1179.7465
1995-08-16 01:25:00,172.946,953.6095
1995-08-16 01:26:00,141.911,705.3501
1995-08-16 01:27:00,45.491,642.8178
1995-08-16 01:28:00,187.93099999999998,646.28516
1995-08-16 01:29:00,424.371,688.9438
1995-08-16 01:30:00,121.792,869.90027
1995-08-16 01:31:00,568.499,642.81415
1995-08-16 01:32:00,976.666,767.396
1995-08-16 01:33:00,80.46600000000001,752.10785
1995-08-16 01:34:00,435.15,887.5008
1995-08-16 01:35:00,128.267,1013.4424
1995-08-16 01:36:00,218.416,857.5396
1995-08-16 01:37:00,433.154,998.53674
1995-08-16 01:38:00,188.751,950.5079
1995-08-16 01:39:00,225.842,1072.194
1995-08-16 01:40:00,304.403,794.92035
1995-08-16 01:41:00,698.301,912.8623
1995-08-16 01:42:00,557.958,1088.1503
1995-08-16 01:43:00,340.51599999999996,835.0283
1995-08-16 01:44:00,622.5709999999999,902.02814
1995-08-16 01:45:00,414.675,784.1408
1995-08-16 01:46:00,180.40599999999998,745.97925
1995-08-16 01:47:00,84.715,707.21716
1995-08-16 01:48:00,278.58000000000004,763.87897
1995-08-16 01:49:00,215.69400000000002,652.7395
1995-08-16 01:50:00,126.139,751.94055
1995-08-16 01:51:00,191.081,814.53674
1995-08-16 01:52:00,389.155,711.30676
1995-08-16 01:53:00,141.77100000000002,855.0468
1995-08-16 01:54:00,658.298,976.7019
