timestamp,y_req_t1,predicted
1995-08-16 00:00:00,102.0,151.14948
1995-08-16 00:05:00,99.00000000000001,150.47365
1995-08-16 00:10:00,77.0,148.82442
1995-08-16 00:15:00,106.99999999999999,143.95084
1995-08-16 00:20:00,169.0,136.30925
1995-08-16 00:25:00,154.0,128.06322
1995-08-16 00:30:00,163.0,123.1188
1995-08-16 00:35:00,163.0,119.95358
1995-08-16 00:40:00,59.0,115.78068
1995-08-16 00:45:00,143.0,112.83652
1995-08-16 00:50:00,97.99999999999999,108.657036
1995-08-16 00:55:00,159.0,108.38495
1995-08-16 01:00:00,129.0,108.559746
1995-08-16 01:05:00,124.99999999999999,110.66369
1995-08-16 01:10:00,92.0,113.09143
1995-08-16 01:15:00,120.0,115.470726
1995-08-16 01:20:00,61.0,112.73309
1995-08-16 01:25:00,92.0,109.14538
1995-08-16 01:30:00,142.0,104.300804
1995-08-16 01:35:00,132.0,99.37359
1995-08-16 01:40:00,76.0,95.74827
1995-08-16 01:45:00,104.0,93.79396
1995-08-16 01:50:00,148.0,90.3413
1995-08-16 01:55:00,105.0,86.16959
1995-08-16 02:00:00,109.0,83.65782
1995-08-16 02:05:00,79.0,83.55216
1995-08-16 02:10:00,77.0,83.25315
1995-08-16 02:15:00,113.0,80.97019
1995-08-16 02:20:00,50.0,76.42088
1995-08-16 02:25:00,95.0,75.231705
1995-08-16 02:30:00,94.00000000000001,72.911285
1995-08-16 02:35:00,111.99999999999999,73.8285
1995-08-16 02:40:00,110.0,74.4233
1995-08-16 02:45:00,96.0,75.19626
1995-08-16 02:50:00,57.99999999999999,76.375496
1995-08-16 02:55:00,72.0,78.22209
1995-08-16 03:00:00,63.00000000000001,77.44382
1995-08-16 03:05:00,91.0,77.981804
1995-08-16 03:10:00,65.0,77.82955
1995-08-16 03:15:00,114.0,77.69004
1995-08-16 03:20:00,74.0,77.035835
1995-08-16 03:25:00,87.0,77.179436
1995-08-16 03:30:00,115.0,76.72606
1995-08-16 03:35:00,88.0,76.5134
1995-08-16 03:40:00,95.0,77.7004
1995-08-16 03:45:00,90.0,78.99876
1995-08-16 03:50:00,120.0,80.48503
1995-08-16 03:55:00,97.0,80.49819
1995-08-16 04:00:00,111.99999999999999,83.5753
